,,Life expectancy at birth (years),Life expectancy at birth (years),Life expectancy at birth (years),Life expectancy at age 60 (years),Life expectancy at age 60 (years),Life expectancy at age 60 
WHO region,Year,Life expectancy at birth  Both sexes,Life expectancy at birth  Male, Life expectancy at birth Female,Life expectancy at age 60  Both sexes, Life expectancy at age 60 Male,Life expectancy at age 60  Female
Global,2016,72,69.8,74.2,20.5,19,21.9
Global,2015,71.7,69.5,73.9,20.4,18.9,21.8
Global,2010,70.1,68,72.3,19.9,18.4,21.3
Global,2005,68.2,66.1,70.3,19.3,17.8,20.7
Global,2000,66.5,64.4,68.7,18.8,17.2,20.2
Africa,2016,61.2,59.6,62.7,16.6,15.9,17.3
Africa,2015,60.7,59.1,62.2,16.6,15.8,17.3
Africa,2010,57.6,56.4,58.8,16.1,15.4,16.7
Africa,2005,53.4,52.3,54.4,15.4,14.7,16.1
Africa,2000,50.8,49.6,52.1,15,14.3,15.6
Americas,2016,76.8,73.8,79.8,22.7,21.1,24.3
Americas,2015,76.6,73.7,79.6,22.6,21,24.1
Americas,2010,75.3,72.3,78.4,22.1,20.4,23.6
Americas,2005,74.9,71.9,77.9,21.5,19.8,23.1
Americas,2000,73.6,70.4,76.8,20.9,19.1,22.5
South-East Asia,2016,69.5,67.9,71.3,18.2,17.2,19.1
South-East Asia,2015,69.2,67.6,70.9,18.1,17.1,19
South-East Asia,2010,67.4,66.1,68.7,17.6,16.7,18.4
South-East Asia,2005,65.4,64.4,66.4,17,16.2,17.8
South-East Asia,2000,63.5,62.5,64.4,16.7,15.8,17.5
Europe,2016,77.5,74.2,80.8,22.3,20.2,24.1
Europe,2015,77.2,73.8,80.5,22.1,20,23.9
Europe,2010,75.7,72,79.3,21.4,19.2,23.2
Europe,2005,73.5,69.5,77.6,20.3,18.1,22.3
Europe,2000,72.5,68.4,76.7,19.7,17.3,21.6
Eastern Mediterranean,2016,69.1,67.7,70.7,18.2,17.5,19
Eastern Mediterranean,2015,68.8,67.4,70.4,18.1,17.4,18.8
Eastern Mediterranean,2010,68.1,66.7,69.5,18,17.3,18.7
Eastern Mediterranean,2005,66.2,64.8,67.8,17.6,16.9,18.4
Eastern Mediterranean,2000,65.5,64.2,66.9,17.5,16.8,18.2
Western Pacific,2016,76.9,75,78.9,21,19.5,22.5
Western Pacific,2015,76.7,74.8,78.8,20.9,19.4,22.4
Western Pacific,2010,75.8,73.8,77.9,20.5,19,22.1
Western Pacific,2005,74.7,72.7,76.8,20.1,18.6,21.6
Western Pacific,2000,72.8,70.8,75,19.3,17.8,20.9
